CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_CBSA_NAME
GA,Treutlen County,"Dublin, GA"
TX,Clay County,"Wichita Falls, TX"
IA,Clay County,"Spencer, IA"
MS,Amite County,""
IL,Schuyler County,""
WI,Douglas County,"Duluth, MN-WI"
KY,Todd County,""
MI,Manistee County,""
KS,Ness County,""
NC,Pasquotank County,"Elizabeth City, NC"
WA,Kittitas County,"Ellensburg, WA"
SC,Union County,"Union, SC"
GA,Jackson County,"Jefferson, GA"
NY,Hamilton County,""
KY,Logan County,""
AR,Stone County,""
AZ,Greenlee County,""
PA,Elk County,"St. Marys, PA"
NV,Pershing County,""
CA,Tuolumne County,"Sonora, CA"
LA,Bossier Parish,"Shreveport-Bossier City, LA"
FL,Jackson County,""
OK,Grady County,"Oklahoma City, OK"
GA,Brooks County,"Valdosta, GA"
WI,Forest County,""
GA,Catoosa County,"Chattanooga, TN-GA"
IN,Clinton County,"Frankfort, IN"
CA,Sutter County,"Yuba City, CA"
WY,Lincoln County,""
NC,McDowell County,"Marion, NC"
KY,Lyon County,""
WV,Mingo County,""
AR,Searcy County,""
NC,Yancey County,""
WI,Vilas County,""
PA,Fulton County,""
KY,Owen County,""
IL,Christian County,"Taylorville, IL"
WI,Jackson County,""
IN,Carroll County,"Lafayette-West Lafayette, IN"
LA,Richland Parish,""
MO,Howell County,"West Plains, MO"
VA,Pulaski County,"Blacksburg-Christiansburg, VA"
SC,Saluda County,"Columbia, SC"
CA,Glenn County,""
UT,Uintah County,"Vernal, UT"
NY,Schoharie County,"Albany-Schenectady-Troy, NY"
IN,Franklin County,"Cincinnati, OH-KY-IN"
MO,Webster County,"Springfield, MO"
IN,Fayette County,"Connersville, IN"
MS,Tishomingo County,""
KY,Henry County,"Louisville/Jefferson County, KY-IN"
MI,Presque Isle County,""
IL,Greene County,""
ND,Towner County,""
TX,Wise County,"Dallas-Fort Worth-Arlington, TX"
KY,Bath County,"Mount Sterling, KY"
AK,Northwest Arctic Borough,""
GA,Madison County,"Athens-Clarke County, GA"
CO,Lincoln County,""
MO,Lincoln County,"St. Louis, MO-IL"
TX,Hudspeth County,"El Paso, TX"
VA,Fairfax city,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
IN,Shelby County,"Indianapolis-Carmel-Anderson, IN"
ND,Wells County,""
OK,Caddo County,""
OK,McClain County,"Oklahoma City, OK"
MN,Norman County,""
KS,Phillips County,""
IL,Vermilion County,"Danville, IL"
NM,De Baca County,""
IA,Cass County,""
MO,Saline County,"Marshall, MO"
GA,Upson County,"Thomaston, GA"
TX,Cass County,""
NM,Cibola County,"Grants, NM"
IN,Ohio County,"Cincinnati, OH-KY-IN"
ND,Eddy County,""
WI,Waushara County,""
KS,Marion County,""
AR,Cleburne County,""
IL,Randolph County,""
SD,McPherson County,""
NC,Swain County,"Cullowhee, NC"
OK,Hughes County,""
WV,Morgan County,"Hagerstown-Martinsburg, MD-WV"
NE,Dakota County,"Sioux City, IA-NE-SD"
OK,Beckham County,"Elk City, OK"
LA,Iberville Parish,"Baton Rouge, LA"
WI,Green Lake County,""
TN,Dyer County,"Dyersburg, TN"
KY,Breathitt County,""
KS,Chase County,"Emporia, KS"
SC,McCormick County,""
IA,Page County,""
TX,Sabine County,""
TN,Henderson County,""
TX,Castro County,""
MO,Bates County,"Kansas City, MO-KS"
VA,Madison County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
GA,Barrow County,"Atlanta-Sandy Springs-Alpharetta, GA"
VA,Powhatan County,"Richmond, VA"
OH,Shelby County,"Sidney, OH"
NE,Stanton County,"Norfolk, NE"
IA,Taylor County,""
OK,Major County,""
MO,Douglas County,""
TX,Franklin County,""
WI,Lincoln County,"Wausau-Weston, WI"
MS,Tallahatchie County,""
MO,Johnson County,"Warrensburg, MO"
NM,Sierra County,""
TN,Cheatham County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
WV,Gilmer County,""
TN,McMinn County,"Athens, TN"
IN,Putnam County,"Indianapolis-Carmel-Anderson, IN"
CO,Park County,"Denver-Aurora-Lakewood, CO"
CA,Calaveras County,""
ND,Emmons County,""
MN,Todd County,""
SC,Colleton County,""
GA,Ben Hill County,"Fitzgerald, GA"
KY,Russell County,""
TN,Grundy County,""
AR,Greene County,"Paragould, AR"
IL,Warren County,""
TN,Giles County,""
AK,Copper River Census Area,""
NC,Clay County,""
OK,Pushmataha County,""
OH,Madison County,"Columbus, OH"
KY,Cumberland County,""
NC,Chowan County,""
MO,Bollinger County,"Cape Girardeau, MO-IL"
KY,Edmonson County,"Bowling Green, KY"
AR,Union County,"El Dorado, AR"
LA,Sabine Parish,""
GA,Quitman County,"Eufaula, AL-GA"
IL,Edwards County,""
VA,Patrick County,""
TX,McMullen County,""
TX,Jones County,"Abilene, TX"
CO,Elbert County,"Denver-Aurora-Lakewood, CO"
GA,Seminole County,""
OH,Carroll County,"Canton-Massillon, OH"
TX,Borden County,""
TN,Dickson County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
MN,Freeborn County,"Albert Lea, MN"
MI,Clinton County,"Lansing-East Lansing, MI"
GA,Talbot County,"Columbus, GA-AL"
UT,Duchesne County,""
VI,St. Croix Island,""
TX,Refugio County,""
VA,Dinwiddie County,"Richmond, VA"
OH,Lawrence County,"Huntington-Ashland, WV-KY-OH"
IL,Clinton County,"St. Louis, MO-IL"
GA,Oglethorpe County,"Athens-Clarke County, GA"
KY,McCreary County,""
TN,Polk County,"Cleveland, TN"
KS,Ellsworth County,""
GA,Putnam County,""
TX,Winkler County,""
LA,Jackson Parish,""
WI,Burnett County,""
WV,Taylor County,"Clarksburg, WV"
MN,Lake County,"Duluth, MN-WI"
MN,Polk County,"Grand Forks, ND-MN"
MO,Daviess County,""
OK,Pontotoc County,"Ada, OK"
TN,Morgan County,"Knoxville, TN"
TX,Hockley County,"Levelland, TX"
VA,Surry County,""
NC,Bladen County,""
TX,Presidio County,""
MS,Union County,""
MI,Newaygo County,""
CT,Northeastern Connecticut Planning Region,"Norwich-New London, CT"
NC,Alleghany County,""
ID,Payette County,"Ontario, OR-ID"
AK,Hoonah-Angoon Census Area,""
NC,Granville County,"Durham-Chapel Hill, NC"
ID,Caribou County,""
OR,Sherman County,""
IA,Hamilton County,""
CO,Ouray County,"Montrose, CO"
TX,Hale County,"Plainview, TX"
KS,Kingman County,""
TX,Somervell County,""
IN,Decatur County,"Greensburg, IN"
CA,Trinity County,""
LA,East Feliciana Parish,"Baton Rouge, LA"
MT,Prairie County,""
MO,Monroe County,""
NE,Pierce County,"Norfolk, NE"
TN,Trousdale County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
IL,Williamson County,"Carbondale-Marion, IL"
IN,Jasper County,"Chicago-Naperville-Elgin, IL-IN-WI"
MO,Barton County,""
LA,East Carroll Parish,""
ID,Valley County,""
TX,Zapata County,"Zapata, TX"
KY,Gallatin County,"Cincinnati, OH-KY-IN"
GA,Dade County,"Chattanooga, TN-GA"
TX,DeWitt County,""
ID,Lewis County,""
PR,Camuy Municipio,"Arecibo, PR"
TX,Bandera County,"San Antonio-New Braunfels, TX"
KS,Labette County,"Parsons, KS"
TN,Marshall County,"Lewisburg, TN"
AR,Clark County,"Arkadelphia, AR"
IL,Putnam County,"Ottawa, IL"
TX,Camp County,"Mount Pleasant, TX"
IL,Union County,""
AR,Sharp County,"Batesville, AR"
GU,Guam,""
CA,Santa Clara County,"Santa Cruz-Watsonville, CA"
KS,Lincoln County,""
IL,Fayette County,""
KS,Gray County,""
AR,Izard County,""
CO,Custer County,""
KY,Knox County,"London, KY"
MS,Newton County,""
WV,Webster County,""
AR,Desha County,""
GA,Elbert County,""
TN,Weakley County,"Martin, TN"
KS,Ford County,"Dodge City, KS"
TN,Wayne County,""
TX,Goliad County,"Victoria, TX"
TX,Val Verde County,"Del Rio, TX"
KY,Allen County,"Bowling Green, KY"
GA,Murray County,"Dalton, GA"
MS,Covington County,"Hattiesburg, MS"
VA,Galax city,""
ID,Bingham County,"Blackfoot, ID"
GA,Clinch County,""
VA,Williamsburg city,"Virginia Beach-Norfolk-Newport News, VA-NC"
UT,Wayne County,""
AR,Monroe County,""
IA,Washington County,"Iowa City, IA"
WA,Ferry County,""
TN,Maury County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
KS,Chautauqua County,""
SC,Jasper County,"Hilton Head Island-Bluffton, SC"
NV,Storey County,"Reno, NV"
MT,Rosebud County,""
AL,Lawrence County,"Decatur, AL"
SC,Bamberg County,""
OK,Kiowa County,""
GA,Twiggs County,"Macon-Bibb County, GA"
TX,Willacy County,"Raymondville, TX"
FL,Gilchrist County,"Gainesville, FL"
ND,Stark County,"Dickinson, ND"
ND,Dickey County,""
PA,Montour County,"Bloomsburg-Berwick, PA"
NE,Burt County,""
KS,Reno County,"Hutchinson, KS"
AR,Phillips County,"Helena-West Helena, AR"
MO,Gasconade County,""
IL,Boone County,"Rockford, IL"
OK,Coal County,""
GA,Coffee County,"Douglas, GA"
TX,Hardeman County,""
OK,Dewey County,""
TN,Humphreys County,""
OH,Auglaize County,"Wapakoneta, OH"
MI,Tuscola County,""
OK,Carter County,"Ardmore, OK"
TX,Limestone County,""
WA,Adams County,"Othello, WA"
WY,Big Horn County,""
IL,Perry County,""
TN,Bledsoe County,""
KS,Comanche County,""
TX,Wood County,""
VA,Carroll County,""
TN,Monroe County,""
IA,Franklin County,""
NC,Yadkin County,"Winston-Salem, NC"
NC,Ashe County,""
MO,Gentry County,""
WA,Wahkiakum County,""
NC,Davie County,"Winston-Salem, NC"
TX,Foard County,""
TX,Titus County,"Mount Pleasant, TX"
MN,Kanabec County,""
WI,Grant County,"Platteville, WI"
KS,Osborne County,""
ID,Gooding County,""
NM,Grant County,"Silver City, NM"
CO,Costilla County,""
KY,Marshall County,""
GA,Crisp County,"Cordele, GA"
OH,Highland County,""
LA,West Baton Rouge Parish,"Baton Rouge, LA"
KY,Knott County,""
LA,St. Charles Parish,"New Orleans-Metairie, LA"
TX,Upshur County,"Longview, TX"
IL,Massac County,"Paducah, KY-IL"
MO,Putnam County,""
WV,Mineral County,"Cumberland, MD-WV"
WY,Carbon County,""
MS,Montgomery County,""
TX,Matagorda County,"Bay City, TX"
MO,Crawford County,""
IN,Parke County,"Terre Haute, IN"
WA,Skamania County,"Portland-Vancouver-Hillsboro, OR-WA"
OR,Crook County,"Prineville, OR"
MT,Deer Lodge County,""
IN,Jennings County,"North Vernon, IN"
IN,Spencer County,""
KS,Jefferson County,"Topeka, KS"
LA,De Soto Parish,"Shreveport-Bossier City, LA"
IN,DeKalb County,"Auburn, IN"
GA,White County,""
MT,Treasure County,""
IN,Blackford County,""
TN,Fentress County,""
ND,Morton County,"Bismarck, ND"
WI,Wood County,"Wisconsin Rapids-Marshfield, WI"
CO,Lake County,""
IL,Bureau County,"Ottawa, IL"
ID,Madison County,"Rexburg, ID"
IL,Carroll County,""
NE,Washington County,"Omaha-Council Bluffs, NE-IA"
MN,Goodhue County,"Red Wing, MN"
IA,Calhoun County,""
KS,Marshall County,""
AR,Ashley County,""
AR,Cleveland County,"Pine Bluff, AR"
OH,Harrison County,""
KY,Larue County,"Elizabethtown-Fort Knox, KY"
SD,Butte County,""
WI,Price County,""
KY,Trimble County,""
ID,Custer County,""
LA,Plaquemines Parish,"New Orleans-Metairie, LA"
MS,Walthall County,""
OH,Sandusky County,"Fremont, OH"
"","","Boston-Cambridge-Newton, MA-NH"
KY,Simpson County,""
IL,Jasper County,""
ND,Mercer County,""
PR,Aguadilla Municipio,"Aguadilla-Isabela, PR"
"","","San Francisco-Oakland-Berkeley, CA"
TN,Hawkins County,"Kingsport-Bristol, TN-VA"
MO,Oregon County,""
KS,Nemaha County,""
MT,Beaverhead County,""
"","","Miami-Fort Lauderdale-Pompano Beach, FL"
ID,Teton County,"Jackson, WY-ID"
MO,Stoddard County,""
TN,Lauderdale County,""
MO,Phelps County,"Rolla, MO"
VA,Colonial Heights city,"Richmond, VA"
GA,Jeff Davis County,""
WV,Wirt County,"Parkersburg-Vienna, WV"
WV,Pendleton County,""
TX,Falls County,"Waco, TX"
TX,Archer County,"Wichita Falls, TX"
IA,Bremer County,"Waterloo-Cedar Falls, IA"
CA,Colusa County,""
MN,Chippewa County,""
CO,Rio Grande County,""
AL,Geneva County,"Dothan, AL"
WV,Tyler County,""
IL,Jo Daviess County,""
NC,Wilson County,"Wilson, NC"
KS,Washington County,""
KY,Carter County,"Huntington-Ashland, WV-KY-OH"
VA,Giles County,"Blacksburg-Christiansburg, VA"
AL,Marengo County,""
LA,St. Martin Parish,"Lafayette, LA"
MI,St. Joseph County,"Sturgis, MI"
LA,Union Parish,"Monroe, LA"
GA,Clay County,""
WV,Monroe County,""
MS,Yazoo County,"Jackson, MS"
AL,Pickens County,"Tuscaloosa, AL"
VA,Lancaster County,""
MS,Perry County,"Hattiesburg, MS"
TX,Sutton County,""
GA,Charlton County,""
VA,Nottoway County,""
UT,Box Elder County,"Ogden-Clearfield, UT"
OK,Custer County,"Weatherford, OK"
MO,Benton County,""
TX,Childress County,""
IN,Wells County,"Bluffton, IN"
MO,Stone County,""
MN,Lincoln County,""
MO,Howard County,"Columbia, MO"
GA,Candler County,""
TN,Union County,"Knoxville, TN"
MS,Yalobusha County,""
IL,De Witt County,""
KY,Morgan County,""
MO,Montgomery County,""
KY,Floyd County,""
MO,Caldwell County,"Kansas City, MO-KS"
OK,Tillman County,""
TN,Campbell County,"Knoxville, TN"
KY,Livingston County,"Paducah, KY-IL"
VA,Bristol city,"Kingsport-Bristol, TN-VA"
IA,Guthrie County,"Des Moines-West Des Moines, IA"
AR,Van Buren County,""
AK,Kodiak Island Borough,""
NM,Curry County,"Clovis, NM"
IA,Ringgold County,""
KY,Grayson County,""
WI,Portage County,"Stevens Point, WI"
IN,Greene County,""
AZ,La Paz County,""
TN,Perry County,""
IL,Pulaski County,""
VA,Cumberland County,""
TX,Deaf Smith County,"Hereford, TX"
NM,McKinley County,"Gallup, NM"
KS,McPherson County,"McPherson, KS"
GA,Lincoln County,"Augusta-Richmond County, GA-SC"
NC,Currituck County,"Virginia Beach-Norfolk-Newport News, VA-NC"
MS,Stone County,"Gulfport-Biloxi, MS"
CO,Teller County,"Colorado Springs, CO"
CO,San Juan County,""
ND,Foster County,""
MO,Reynolds County,""
SD,Brule County,""
WV,Hampshire County,"Winchester, VA-WV"
NC,Martin County,""
KY,Carroll County,""
MI,Montmorency County,""
VA,Prince George County,"Richmond, VA"
IL,Hardin County,""
CA,Alpine County,""
IA,Clarke County,""
KY,Rockcastle County,""
"","","Jacksonville, FL"
NE,Frontier County,""
SC,Fairfield County,"Columbia, SC"
IL,Stephenson County,"Freeport, IL"
TX,Knox County,""
CT,Naugatuck Valley Planning Region,"Hartford-East Hartford-Middletown, CT"
MN,Yellow Medicine County,""
KY,Owsley County,""
KY,Lee County,""
MI,Iron County,""
MI,Arenac County,""
MI,Missaukee County,"Cadillac, MI"
AK,Southeast Fairbanks Census Area,""
SD,Jerauld County,"Huron, SD"
MS,George County,""
IA,Delaware County,""
IN,Fountain County,""
SD,McCook County,"Sioux Falls, SD"
WV,Doddridge County,"Clarksburg, WV"
NE,Lincoln County,"North Platte, NE"
MT,Custer County,""
LA,Grant Parish,"Alexandria, LA"
KY,Clay County,"London, KY"
KY,Casey County,""
TX,Wilbarger County,"Vernon, TX"
IN,White County,""
WI,Pierce County,"Minneapolis-St. Paul-Bloomington, MN-WI"
KY,Boyle County,"Danville, KY"
KS,Linn County,"Kansas City, MO-KS"
SD,Lake County,""
MN,Wilkin County,"Wahpeton, ND-MN"
NE,Antelope County,""
CO,Huerfano County,""
AR,Yell County,"Russellville, AR"
MO,Vernon County,""
NE,Thurston County,""
KY,Union County,""
KY,Martin County,""
AR,Lawrence County,""
KS,Finney County,"Garden City, KS"
OH,Ottawa County,"Toledo, OH"
SD,Kingsbury County,""
IA,Humboldt County,""
GA,Cook County,""
IN,Clay County,"Terre Haute, IN"
MO,Madison County,""
MO,Lewis County,"Quincy, IL-MO"
WV,Brooke County,"Weirton-Steubenville, WV-OH"
FL,Dixie County,""
KS,Greenwood County,""
KY,Spencer County,"Louisville/Jefferson County, KY-IN"
IA,Kossuth County,""
WV,Wyoming County,""
TX,Bosque County,""
KY,Breckinridge County,""
AR,Grant County,"Little Rock-North Little Rock-Conway, AR"
CA,Del Norte County,"Crescent City, CA"
WA,Lincoln County,""
VA,Charlotte County,""
AR,Clay County,""
MI,Gogebic County,""
KY,Harrison County,""
CO,Las Animas County,""
IL,White County,""
OR,Wallowa County,""
IL,Hamilton County,""
KY,Fleming County,""
KY,Jessamine County,"Lexington-Fayette, KY"
SD,Custer County,""
TN,DeKalb County,""
WV,Upshur County,""
TX,Burnet County,""
KY,Lincoln County,"Danville, KY"
KY,Pendleton County,"Cincinnati, OH-KY-IN"
SC,Abbeville County,""
TX,Waller County,"Houston-The Woodlands-Sugar Land, TX"
AR,Howard County,""
AK,Yukon-Koyukuk Census Area,""
KY,Nicholas County,""
MN,Koochiching County,""
KY,Hart County,""
SD,Miner County,""
CO,Rio Blanco County,""
AK,Skagway Municipality,""
NE,Keith County,""
MI,Alcona County,""
KY,Caldwell County,""
SD,Beadle County,"Huron, SD"
PR,Guánica Municipio,"Yauco, PR"
MN,Cottonwood County,""
ND,Dunn County,""
KY,McLean County,"Owensboro, KY"
OH,Mahoning County,"Salem, OH"
SD,Hand County,""
VI,St. John Island,""
VI,St. Thomas Island,""
CT,Northeastern Connecticut Planning Region,"Hartford-East Hartford-Middletown, CT"
TN,Bedford County,"Shelbyville, TN"
MO,Mercer County,""
GA,Montgomery County,"Vidalia, GA"
OR,Malheur County,"Ontario, OR-ID"
MS,Scott County,""
TX,Armstrong County,"Amarillo, TX"
UT,Juab County,"Provo-Orem, UT"
TX,Jeff Davis County,""
IN,Harrison County,"Louisville/Jefferson County, KY-IN"
MN,Blue Earth County,"Mankato, MN"
TN,Lewis County,""
VA,Westmoreland County,""
MO,Grundy County,""
AL,Coosa County,"Alexander City, AL"
FL,Lafayette County,""
SD,Roberts County,""
TX,Madison County,""
ND,Barnes County,""
MN,Clearwater County,""
IA,Clayton County,""
NM,Hidalgo County,""
IA,Iowa County,""
IN,Daviess County,"Washington, IN"
WV,Lincoln County,"Charleston, WV"
GA,Hart County,""
MO,Schuyler County,"Kirksville, MO"
TX,Floyd County,""
AR,Jackson County,""
TX,Ward County,""
CO,Montrose County,"Montrose, CO"
WY,Sweetwater County,"Rock Springs, WY"
OH,Noble County,""
AK,Nome Census Area,""
MS,Sharkey County,""
MO,Wayne County,""
KS,Anderson County,""
ID,Clark County,""
MO,Andrew County,"St. Joseph, MO-KS"
UT,Garfield County,""
ID,Clearwater County,""
KS,Hamilton County,""
MO,Scotland County,""
KY,Grant County,"Cincinnati, OH-KY-IN"
IN,Scott County,"Scottsburg, IN"
KS,Grant County,""
AL,Fayette County,""
MN,Pope County,""
TN,Scott County,""
TN,Moore County,"Tullahoma-Manchester, TN"
IN,Orange County,""
WV,Roane County,""
KY,Carlisle County,""
KY,Ballard County,"Paducah, KY-IL"
AR,Lonoke County,"Little Rock-North Little Rock-Conway, AR"
IN,Tipton County,""
KY,Trigg County,"Clarksville, TN-KY"
VA,Norton city,"Big Stone Gap, VA"
MT,Mineral County,""
UT,Kane County,""
IA,Wayne County,""
MS,Claiborne County,""
KS,Sherman County,""
TX,Jack County,""
IA,Greene County,""
SD,Grant County,""
SD,Clark County,""
TX,Delta County,""
VA,Russell County,""
KY,Meade County,"Elizabethtown-Fort Knox, KY"
IL,Piatt County,"Champaign-Urbana, IL"
TN,Meigs County,""
VA,Franklin city,"Virginia Beach-Norfolk-Newport News, VA-NC"
MS,Itawamba County,"Tupelo, MS"
IN,Adams County,"Decatur, IN"
"","","New York-Newark-Jersey City, NY-NJ-PA"
PR,Trujillo Alto Municipio,"San Juan-Bayamón-Caguas, PR"
ID,Lincoln County,""
MS,Marion County,""
PR,Dorado Municipio,"San Juan-Bayamón-Caguas, PR"
WV,Barbour County,""
MO,Audrain County,"Mexico, MO"
KY,Taylor County,"Campbellsville, KY"
AR,Scott County,""
NV,Mineral County,""
NE,Webster County,""
MT,Hill County,""
MT,Powell County,""
ND,Divide County,""
KY,Washington County,""
NC,Gates County,"Virginia Beach-Norfolk-Newport News, VA-NC"
KS,Neosho County,""
GA,Randolph County,""
GA,Heard County,"Atlanta-Sandy Springs-Alpharetta, GA"
MN,Traverse County,""
LA,St. Helena Parish,"Baton Rouge, LA"
TX,Marion County,""
MT,Richland County,""
AR,Pike County,""
TX,Hamilton County,""
TN,Lake County,""
MN,Lac qui Parle County,""
CO,Alamosa County,""
FL,Calhoun County,""
NE,Dundy County,""
NE,Seward County,"Lincoln, NE"
OK,Craig County,""
OK,Latimer County,""
MT,Sheridan County,""
NE,Nuckolls County,""
ND,Benson County,""
VA,Bland County,"Bluefield, WV-VA"
NE,Knox County,""
WV,Braxton County,""
NE,Otoe County,""
NE,Phelps County,""
KY,Mason County,"Maysville, KY"
NC,Graham County,""
AR,Lee County,""
NE,Hooker County,""
TX,Kinney County,""
MS,Tunica County,"Memphis, TN-MS-AR"
KY,Bell County,"Middlesborough, KY"
GA,Schley County,"Americus, GA"
MS,Quitman County,""
CO,Moffat County,"Craig, CO"
AL,Franklin County,""
MI,Mackinac County,""
AK,Bristol Bay Borough,""
SD,Lyman County,""
IN,Starke County,""
IA,Davis County,""
NE,Kearney County,"Kearney, NE"
ND,Nelson County,""
IL,Johnson County,"Carbondale-Marion, IL"
LA,Tensas Parish,""
KS,Cloud County,""
MT,Liberty County,""
NV,Lincoln County,""
CA,Modoc County,""
ID,Benewah County,""
KS,Pratt County,""
VA,Manassas Park city,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
OK,Sequoyah County,"Fort Smith, AR-OK"
TX,Shackelford County,""
LA,Caldwell Parish,""
PR,Orocovis Municipio,"San Juan-Bayamón-Caguas, PR"
WY,Converse County,""
CO,San Miguel County,""
TN,McNairy County,""
SD,Codington County,"Watertown, SD"
MO,Maries County,""
UT,Millard County,""
TN,Obion County,"Union City, TN"
NM,Mora County,"Las Vegas, NM"
TX,Erath County,"Stephenville, TX"
NE,Perkins County,""
TX,Calhoun County,"Port Lavaca, TX"
TX,Mason County,""
MO,Osage County,"Jefferson City, MO"
CO,Gilpin County,"Denver-Aurora-Lakewood, CO"
TX,Pecos County,""
IA,Lyon County,""
GA,Stewart County,"Columbus, GA-AL"
LA,St. James Parish,"New Orleans-Metairie, LA"
IA,Mills County,"Omaha-Council Bluffs, NE-IA"
TX,Concho County,""
MT,Jefferson County,"Helena, MT"
IL,Douglas County,""
IL,Washington County,""
IA,Keokuk County,""
NE,Holt County,""
KY,Henderson County,"Evansville, IN-KY"
IL,Livingston County,"Pontiac, IL"
IA,Hancock County,""
KS,Mitchell County,""
TX,Comanche County,""
IA,Sac County,""
GA,Atkinson County,"Douglas, GA"
MN,Kittson County,""
WI,Menominee County,"Shawano, WI"
NE,Richardson County,""
AR,Woodruff County,""
IN,LaGrange County,""
OK,Cotton County,"Lawton, OK"
KY,Metcalfe County,"Glasgow, KY"
NE,Butler County,""
ND,McIntosh County,""
WY,Weston County,"Gillette, WY"
IA,Winneshiek County,""
IA,Monroe County,""
IL,Wayne County,""
CO,Saguache County,""
"","","Cape Coral-Fort Myers, FL"
NE,Fillmore County,""
TX,Swisher County,""
SD,Hutchinson County,""
IA,Hardin County,""
LA,Winn Parish,""
TN,Pickett County,""
MN,Pipestone County,""
GA,Dodge County,""
IA,Lucas County,""
KY,Webster County,""
OK,Kingfisher County,""
IA,Harrison County,"Omaha-Council Bluffs, NE-IA"
WV,Pocahontas County,""
MO,Linn County,""
MO,Carter County,""
IN,Vermillion County,"Terre Haute, IN"
ND,Richland County,"Wahpeton, ND-MN"
TX,Maverick County,"Eagle Pass, TX"
"","","Punta Gorda, FL"
ID,Washington County,""
MT,Valley County,""
IL,Wabash County,""
ID,Minidoka County,"Burley, ID"
MT,Fergus County,""
NM,Harding County,""
CO,Morgan County,"Fort Morgan, CO"
LA,Madison Parish,""
WI,Taylor County,""
SD,Bennett County,""
TX,Fisher County,""
MO,Moniteau County,""
VA,Floyd County,""
TN,Macon County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
IL,Cass County,""
TX,Montague County,""
IL,Iroquois County,""
AR,Sevier County,""
KY,Lawrence County,""
AK,Petersburg Borough,""
MN,Stevens County,""
NE,Hayes County,""
NE,Merrick County,"Grand Island, NE"
MO,Ozark County,""
TX,Nolan County,"Sweetwater, TX"
MS,Grenada County,"Grenada, MS"
OK,Blaine County,""
"","","Jamestown-Dunkirk-Fredonia, NY"
GA,Lanier County,"Valdosta, GA"
ND,Hettinger County,""
TX,Parmer County,""
MT,Phillips County,""
GA,Wilcox County,""
WY,Washakie County,""
TX,Moore County,"Dumas, TX"
SD,Fall River County,""
NM,Catron County,""
MT,Stillwater County,"Billings, MT"
KS,Gove County,""
IA,Dickinson County,"Spirit Lake, IA"
MS,Jefferson Davis County,""
IL,Gallatin County,""
CO,Bent County,""
MO,Clark County,"Fort Madison-Keokuk, IA-IL-MO"
WI,Pepin County,""
OK,Jefferson County,""
SD,Tripp County,""
MN,Mahnomen County,""
SD,Perkins County,""
KY,Clinton County,""
CO,Kit Carson County,""
KS,Trego County,""
LA,Bienville Parish,""
UT,Sevier County,""
TX,Zavala County,""
AL,Bibb County,"Birmingham-Hoover, AL"
MN,Cook County,""
WI,Adams County,""
ND,McLean County,""
MT,Granite County,""
NE,Sioux County,"Scottsbluff, NE"
GA,Mitchell County,"Bainbridge, GA"
MT,Glacier County,""
WA,Douglas County,"Wenatchee, WA"
NE,Dawes County,""
ND,Sheridan County,""
KS,Haskell County,""
ID,Jefferson County,"Idaho Falls, ID"
PR,Mayagüez Municipio,"Mayagüez, PR"
AR,Calhoun County,"Camden, AR"
TX,La Salle County,""
KS,Republic County,""
WI,Iron County,""
GA,Turner County,""
AK,Bethel Census Area,""
WY,Johnson County,""
GA,Wheeler County,""
ND,McKenzie County,""
MS,Wilkinson County,""
IA,Wright County,""
SD,Stanley County,"Pierre, SD"
TX,Briscoe County,""
TX,Andrews County,"Andrews, TX"
MO,Macon County,""
IL,Brown County,""
SD,Charles Mix County,""
KS,Coffey County,""
CA,Sierra County,""
TX,Mills County,""
OK,Love County,"Ardmore, OK"
MO,Moniteau County,"Jefferson City, MO"
IA,Jones County,"Cedar Rapids, IA"
NE,Dodge County,"Fremont, NE"
NE,Box Butte County,""
CO,Dolores County,""
AR,Montgomery County,""
TX,Lynn County,"Lubbock, TX"
OK,McIntosh County,""
WI,Buffalo County,""
TX,Collingsworth County,""
KS,Elk County,""
GA,Irwin County,""
"","","Traverse City, MI"
PR,Juncos Municipio,"San Juan-Bayamón-Caguas, PR"
KS,Meade County,""
KS,Bourbon County,""
IA,Adams County,""
KS,Franklin County,"Kansas City, MO-KS"
NE,Pawnee County,""
SD,Mellette County,""
SD,Turner County,"Sioux Falls, SD"
OK,Harper County,""
VA,Covington city,""
SD,Spink County,""
IA,Henry County,""
KS,Ottawa County,"Salina, KS"
SD,Deuel County,""
KS,Wilson County,""
TX,Garza County,""
NE,Garfield County,""
MS,Jefferson County,""
TX,Duval County,"Alice, TX"
MO,Ralls County,"Hannibal, MO"
IA,Ida County,""
TX,Sterling County,"San Angelo, TX"
KS,Stafford County,""
MT,Chouteau County,""
NE,Hamilton County,""
NM,Union County,""
OK,Alfalfa County,""
KY,Green County,"Campbellsville, KY"
TX,San Saba County,""
TX,Haskell County,""
NE,York County,""
GA,Hancock County,"Milledgeville, GA"
KY,Hancock County,"Owensboro, KY"
"","","Brownsville-Harlingen, TX"
IA,Cedar County,""
ND,Steele County,""
